"KO"	"extracted_text"
"114597"	"K03551"	"TRINITY_DN799140_c0_g1_i1"
"114599"	"K03260"	"TRINITY_DN799162_c0_g1_i1"
"114600"	"K14802"	"TRINITY_DN799175_c0_g1_i1"
"114604"	"K02358"	"TRINITY_DN7991_c0_g3_i1"
"114605"	"K02358"	"TRINITY_DN7991_c0_g3_i3"
"114612"	"K08033"	"TRINITY_DN799249_c0_g1_i1"
"114613"	"K08033"	"TRINITY_DN799249_c0_g1_i2"
"114615"	"K02274"	"TRINITY_DN799259_c0_g1_i1"
"114617"	"K20034"	"TRINITY_DN79926_c0_g3_i1"
"114623"	"K04376"	"TRINITY_DN799308_c0_g1_i1"
"114624"	"K03217"	"TRINITY_DN799310_c0_g1_i1"
"114625"	"K03347"	"TRINITY_DN799312_c0_g1_i1"
"114627"	"K02434"	"TRINITY_DN799318_c0_g1_i1"
"114630"	"K02951"	"TRINITY_DN799326_c0_g1_i1"
"114631"	"K01126"	"TRINITY_DN799347_c0_g1_i1"
"114632"	"K00511"	"TRINITY_DN799359_c0_g1_i1"
"114633"	"K08585"	"TRINITY_DN799365_c0_g1_i1"
"114640"	"K03234"	"TRINITY_DN7993_c1_g1_i1"
"114641"	"K03234"	"TRINITY_DN7993_c1_g1_i2"
"114642"	"K03234"	"TRINITY_DN7993_c1_g5_i1"
"114649"	"K02942"	"TRINITY_DN799464_c0_g1_i1"
"114651"	"K23532"	"TRINITY_DN799472_c0_g1_i1"
"114654"	"K06215"	"TRINITY_DN799484_c0_g1_i1"
"114656"	"K11419"	"TRINITY_DN799508_c0_g1_i1"
"114657"	"K00383"	"TRINITY_DN799513_c0_g1_i1"
"114659"	"K03438"	"TRINITY_DN799540_c0_g1_i1"
"114660"	"K15014"	"TRINITY_DN799551_c0_g1_i1"
"114663"	"K05636"	"TRINITY_DN799561_c0_g1_i1"
"114670"	"K05888"	"TRINITY_DN799586_c0_g1_i1"
"114673"	"K02974"	"TRINITY_DN79959_c0_g1_i1"
"114676"	"K20465"	"TRINITY_DN799605_c0_g1_i1"
"114682"	"K08955"	"TRINITY_DN799658_c0_g1_i1"
"114683"	"K18164"	"TRINITY_DN799662_c0_g1_i1"
"114685"	"K25768"	"TRINITY_DN79966_c0_g1_i1"
"114686"	"K25768"	"TRINITY_DN79966_c0_g1_i2"
"114687"	"K25768"	"TRINITY_DN79966_c0_g1_i3"
"114689"	"K01962"	"TRINITY_DN799675_c0_g1_i1"
"114690"	"K06114"	"TRINITY_DN799695_c0_g1_i1"
"114692"	"K26678"	"TRINITY_DN799748_c0_g1_i1"
"114694"	"K24478"	"TRINITY_DN799767_c0_g1_i1"
"114696"	"K03231"	"TRINITY_DN799783_c0_g1_i1"
"114698"	"K24469"	"TRINITY_DN799793_c0_g1_i1"
"114700"	"K09181"	"TRINITY_DN799802_c0_g1_i1"
"114701"	"K07955"	"TRINITY_DN79980_c0_g1_i1"
"114702"	"K07955"	"TRINITY_DN79980_c0_g1_i2"
"114705"	"K03671"	"TRINITY_DN799829_c0_g1_i2"
"114706"	"K06063"	"TRINITY_DN79982_c0_g1_i2"
"114708"	"K00392"	"TRINITY_DN799833_c0_g1_i1"
"114710"	"K15023"	"TRINITY_DN799850_c0_g1_i1"
"114717"	"K05544"	"TRINITY_DN799877_c0_g1_i1"
"114722"	"K03832"	"TRINITY_DN79991_c0_g1_i1"
"114723"	"K10381"	"TRINITY_DN799921_c0_g1_i1"
"114724"	"K11804"	"TRINITY_DN799927_c0_g1_i1"
"114725"	"K00830"	"TRINITY_DN799930_c0_g1_i1"
"114726"	"K04567"	"TRINITY_DN799932_c0_g1_i1"
"114727"	"K24725"	"TRINITY_DN799938_c0_g1_i1"
"114733"	"K19942"	"TRINITY_DN799961_c0_g1_i1"
"114743"	"K25193"	"TRINITY_DN799996_c0_g1_i1"
"114747"	"K18914"	"TRINITY_DN800005_c0_g1_i1"
"114748"	"K11703"	"TRINITY_DN800008_c0_g1_i1"
"114751"	"K10756"	"TRINITY_DN800018_c0_g1_i1"
"114752"	"K03662"	"TRINITY_DN800034_c0_g1_i1"
"114753"	"K00434"	"TRINITY_DN800045_c0_g1_i1"
"114756"	"K11366"	"TRINITY_DN800072_c0_g1_i1"
"114760"	"K02387"	"TRINITY_DN800096_c0_g1_i1"
"114771"	"K24971"	"TRINITY_DN800149_c0_g1_i1"
"114773"	"K03030"	"TRINITY_DN800160_c0_g1_i2"
"114775"	"K03961"	"TRINITY_DN800167_c0_g1_i1"
"114776"	"K10489"	"TRINITY_DN800169_c0_g1_i1"
"114781"	"K03624"	"TRINITY_DN800223_c0_g1_i1"
"114786"	"K00656"	"TRINITY_DN800249_c0_g1_i1"
"114788"	"K17920"	"TRINITY_DN800257_c0_g1_i1"
"114791"	"K22027"	"TRINITY_DN800274_c0_g1_i1"
"114796"	"K03252"	"TRINITY_DN800296_c0_g1_i1"
"114799"	"K06834"	"TRINITY_DN800306_c0_g1_i1"
"114800"	"K06872"	"TRINITY_DN800307_c0_g1_i1"
"114801"	"K19801"	"TRINITY_DN800310_c0_g1_i1"
"114803"	"K00486"	"TRINITY_DN800327_c0_g1_i1"
"114804"	"K17095"	"TRINITY_DN800331_c0_g1_i1"
"114806"	"K06067"	"TRINITY_DN800358_c0_g1_i2"
"114808"	"K03942"	"TRINITY_DN80036_c0_g2_i1"
"114809"	"K03942"	"TRINITY_DN80036_c0_g3_i1"
"114813"	"K09027"	"TRINITY_DN800401_c0_g1_i1"
"114814"	"K00703"	"TRINITY_DN800405_c0_g1_i1"
"114817"	"K02875"	"TRINITY_DN800414_c0_g1_i1"
"114820"	"K04508"	"TRINITY_DN800421_c0_g1_i1"
"114821"	"K04550"	"TRINITY_DN800423_c0_g1_i1"
"114822"	"K05364"	"TRINITY_DN800426_c0_g1_i1"
"114824"	"K00161"	"TRINITY_DN80043_c0_g1_i1"
"114825"	"K00161"	"TRINITY_DN80043_c0_g1_i2"
"114826"	"K00161"	"TRINITY_DN80043_c0_g1_i3"
"114828"	"K25410"	"TRINITY_DN800462_c0_g1_i1"
"114840"	"K02987"	"TRINITY_DN800564_c0_g1_i1"
"114842"	"K23335"	"TRINITY_DN800574_c0_g1_i1"
"114843"	"K01893"	"TRINITY_DN800577_c0_g1_i1"
"114847"	"K00234"	"TRINITY_DN800606_c0_g1_i1"
"114850"	"K00548"	"TRINITY_DN800621_c0_g1_i1"
"114851"	"K12854"	"TRINITY_DN800623_c0_g1_i1"
"114853"	"K19221"	"TRINITY_DN800635_c0_g1_i1"
"114854"	"K02156"	"TRINITY_DN800637_c0_g1_i1"
"114855"	"K00526"	"TRINITY_DN800640_c0_g1_i1"
"114856"	"K01256"	"TRINITY_DN800641_c0_g1_i1"
"114857"	"K06115"	"TRINITY_DN800643_c0_g1_i1"
"114860"	"K13800"	"TRINITY_DN800666_c0_g1_i1"
"114862"	"K11540"	"TRINITY_DN800674_c0_g1_i1"
"114863"	"K03263"	"TRINITY_DN800676_c0_g1_i1"
"114864"	"K05038"	"TRINITY_DN800679_c0_g1_i1"
"114868"	"K12567"	"TRINITY_DN80069_c1_g1_i2"
"114869"	"K12567"	"TRINITY_DN80069_c1_g3_i1"
"114870"	"K12567"	"TRINITY_DN80069_c1_g3_i2"
"114874"	"K01792"	"TRINITY_DN80071_c0_g2_i1"
"114880"	"K15015"	"TRINITY_DN800768_c0_g1_i1"
"114881"	"K01082"	"TRINITY_DN800774_c0_g1_i1"
"114885"	"K09592"	"TRINITY_DN800811_c0_g1_i1"
"114886"	"K11293"	"TRINITY_DN800823_c0_g1_i1"
"114887"	"K02651"	"TRINITY_DN80083_c1_g1_i1"
"114890"	"K04797"	"TRINITY_DN800849_c0_g1_i1"
"114893"	"K00239"	"TRINITY_DN800880_c0_g1_i1"
"114894"	"K14825"	"TRINITY_DN800892_c0_g1_i1"
"114902"	"K14407"	"TRINITY_DN800918_c0_g1_i1"
"114907"	"K13184"	"TRINITY_DN800964_c0_g1_i1"
"114912"	"K07424"	"TRINITY_DN801016_c0_g1_i1"
"114913"	"K17985"	"TRINITY_DN801019_c0_g1_i1"
"114925"	"K03650"	"TRINITY_DN801081_c0_g1_i1"
"114930"	"K05768"	"TRINITY_DN801101_c0_g1_i1"
"114931"	"K13109"	"TRINITY_DN801102_c0_g1_i1"
"114935"	"K02939"	"TRINITY_DN801132_c0_g1_i1"
"114941"	"K02669"	"TRINITY_DN801163_c0_g1_i1"
"114949"	"K01183"	"TRINITY_DN801227_c0_g1_i1"
"114956"	"K19721"	"TRINITY_DN801231_c0_g1_i1"
"114957"	"K09493"	"TRINITY_DN801233_c0_g1_i1"
"114958"	"K10866"	"TRINITY_DN801239_c0_g1_i1"
"114959"	"K12860"	"TRINITY_DN80123_c0_g1_i1"
"114960"	"K05931"	"TRINITY_DN801251_c0_g1_i1"
"114961"	"K03781"	"TRINITY_DN80125_c0_g2_i1"
"114962"	"K03781"	"TRINITY_DN80125_c1_g3_i1"
"114963"	"K03781"	"TRINITY_DN80125_c2_g1_i2"
"114964"	"K15015"	"TRINITY_DN80127_c0_g1_i1"
"114965"	"K15015"	"TRINITY_DN80127_c0_g1_i2"
"114966"	"K01252"	"TRINITY_DN801282_c0_g1_i1"
"114978"	"K06530"	"TRINITY_DN801367_c0_g1_i1"
"114979"	"K04523"	"TRINITY_DN801374_c0_g1_i1"
"114982"	"K12757"	"TRINITY_DN80139_c0_g1_i1"
"114983"	"K03628"	"TRINITY_DN80139_c1_g2_i1"
"114985"	"K05643"	"TRINITY_DN801418_c0_g1_i1"
"114986"	"K01189"	"TRINITY_DN801419_c0_g1_i1"
"114987"	"K05047"	"TRINITY_DN80141_c0_g1_i1"
"114991"	"K00814"	"TRINITY_DN801477_c0_g1_i1"
"114992"	"K00472"	"TRINITY_DN80147_c0_g1_i1"
"114993"	"K10151"	"TRINITY_DN801491_c0_g1_i1"
"115001"	"K15680"	"TRINITY_DN801510_c0_g1_i1"
"115002"	"K14640"	"TRINITY_DN801520_c0_g1_i1"
"115004"	"K15445"	"TRINITY_DN801529_c0_g1_i1"
"115007"	"K06114"	"TRINITY_DN801549_c0_g1_i1"
"115010"	"K22381"	"TRINITY_DN80156_c0_g1_i2"
"115011"	"K22381"	"TRINITY_DN80156_c0_g2_i1"
"115012"	"K01940"	"TRINITY_DN801589_c0_g1_i1"
"115013"	"K19949"	"TRINITY_DN801592_c0_g1_i1"
"115018"	"K04372"	"TRINITY_DN801637_c0_g1_i1"
"115020"	"K01712"	"TRINITY_DN801648_c0_g1_i1"
"115022"	"K08882"	"TRINITY_DN801684_c0_g1_i1"
"115035"	"K12871"	"TRINITY_DN801749_c0_g1_i1"
"115036"	"K15422"	"TRINITY_DN801760_c0_g1_i1"
"115037"	"K02887"	"TRINITY_DN801772_c0_g1_i1"
"115040"	"K14358"	"TRINITY_DN801809_c0_g1_i1"
"115056"	"K12373"	"TRINITY_DN801907_c0_g1_i1"
"115059"	"K15719"	"TRINITY_DN801929_c0_g1_i1"
"115064"	"K03522"	"TRINITY_DN801975_c0_g1_i1"
"115067"	"K05585"	"TRINITY_DN801995_c0_g1_i1"
"115068"	"K03121"	"TRINITY_DN802006_c0_g1_i1"
"115071"	"K01999"	"TRINITY_DN802020_c0_g1_i1"
"115076"	"K01369"	"TRINITY_DN802034_c0_g1_i1"
"115081"	"K17570"	"TRINITY_DN802124_c0_g1_i1"
"115083"	"K01870"	"TRINITY_DN802133_c0_g1_i1"
"115085"	"K02888"	"TRINITY_DN802159_c0_g1_i1"
"115086"	"K09454"	"TRINITY_DN802162_c0_g1_i1"
"115088"	"K22182"	"TRINITY_DN802169_c0_g1_i1"
"115089"	"K08764"	"TRINITY_DN802186_c0_g1_i1"
"115093"	"K24940"	"TRINITY_DN80219_c0_g1_i1"
"115094"	"K24940"	"TRINITY_DN80219_c0_g1_i2"
"115095"	"K24940"	"TRINITY_DN80219_c0_g1_i3"
"115100"	"K02519"	"TRINITY_DN802243_c0_g1_i1"
"115102"	"K00616"	"TRINITY_DN80224_c1_g1_i1"
"115104"	"K05795"	"TRINITY_DN80224_c2_g2_i2"
"115108"	"K02992"	"TRINITY_DN802267_c0_g1_i1"
"115109"	"K23566"	"TRINITY_DN802268_c0_g1_i1"
"115113"	"K11129"	"TRINITY_DN802280_c0_g1_i1"
"115117"	"K02973"	"TRINITY_DN80231_c0_g1_i1"
"115118"	"K01251"	"TRINITY_DN802326_c0_g1_i1"
"115122"	"K06857"	"TRINITY_DN802367_c0_g1_i1"
"115124"	"K12183"	"TRINITY_DN802371_c0_g1_i1"
"115125"	"K19478"	"TRINITY_DN802372_c0_g1_i1"
"115130"	"K02922"	"TRINITY_DN802404_c0_g1_i1"
"115132"	"K14798"	"TRINITY_DN802414_c0_g1_i1"
"115135"	"K25949"	"TRINITY_DN802438_c0_g1_i1"
"115139"	"K08799"	"TRINITY_DN802481_c0_g1_i1"
"115144"	"K06676"	"TRINITY_DN802513_c0_g1_i1"
"115149"	"K05289"	"TRINITY_DN802549_c0_g1_i1"
"115150"	"K15183"	"TRINITY_DN802561_c0_g1_i1"
"115151"	"K14827"	"TRINITY_DN802569_c0_g1_i1"
"115153"	"K01996"	"TRINITY_DN802599_c0_g1_i1"
"115160"	"K20241"	"TRINITY_DN802659_c0_g1_i1"
"115161"	"K12619"	"TRINITY_DN80266_c0_g2_i2"
"115162"	"K20899"	"TRINITY_DN802675_c0_g1_i1"
"115164"	"K12482"	"TRINITY_DN802684_c0_g1_i1"
"115166"	"K00383"	"TRINITY_DN802715_c0_g1_i1"
"115167"	"K23504"	"TRINITY_DN802726_c0_g1_i1"
"115172"	"K13599"	"TRINITY_DN802752_c0_g1_i1"
"115175"	"K13101"	"TRINITY_DN802769_c0_g1_i1"
"115179"	"K23283"	"TRINITY_DN802784_c0_g1_i1"
"115180"	"K01874"	"TRINITY_DN802786_c0_g1_i1"
"115183"	"K12948"	"TRINITY_DN80278_c0_g1_i2"
"115186"	"K15979"	"TRINITY_DN802812_c0_g1_i1"
"115187"	"K25058"	"TRINITY_DN802815_c0_g1_i1"
"115188"	"K00647"	"TRINITY_DN802822_c0_g1_i1"
"115190"	"K09646"	"TRINITY_DN802838_c0_g1_i1"
"115195"	"K11593"	"TRINITY_DN802858_c0_g1_i1"
"115197"	"K15276"	"TRINITY_DN802878_c0_g1_i1"
"115198"	"K01273"	"TRINITY_DN802880_c0_g1_i1"
"115200"	"K00974"	"TRINITY_DN802890_c0_g1_i1"
"115203"	"K01360"	"TRINITY_DN802908_c0_g1_i1"
"115210"	"K07126"	"TRINITY_DN802975_c0_g1_i1"
"115211"	"K01294"	"TRINITY_DN802977_c0_g1_i1"
"115212"	"K12417"	"TRINITY_DN803004_c0_g1_i1"
"115213"	"K11513"	"TRINITY_DN803013_c0_g1_i1"
"115215"	"K12885"	"TRINITY_DN803018_c0_g1_i1"
"115216"	"K07481"	"TRINITY_DN80301_c0_g1_i1"
"115220"	"K08675"	"TRINITY_DN803026_c0_g1_i2"
"115224"	"K10357"	"TRINITY_DN803050_c0_g1_i1"
"115225"	"K07023"	"TRINITY_DN803057_c0_g1_i1"
"115227"	"K01194"	"TRINITY_DN803077_c0_g1_i1"
"115229"	"K00850"	"TRINITY_DN803080_c0_g1_i1"
"115230"	"K02970"	"TRINITY_DN803088_c0_g1_i1"
"115242"	"K25789"	"TRINITY_DN803206_c0_g1_i1"
"115245"	"K13993"	"TRINITY_DN803230_c0_g1_i1"
"115249"	"K14856"	"TRINITY_DN803250_c0_g1_i1"
"115256"	"K24212"	"TRINITY_DN803283_c0_g1_i1"
"115258"	"K13443"	"TRINITY_DN803286_c0_g1_i1"
"115269"	"K00806"	"TRINITY_DN803376_c0_g1_i1"
"115280"	"K17551"	"TRINITY_DN803493_c0_g1_i1"
"115282"	"K09408"	"TRINITY_DN803503_c0_g1_i1"
"115285"	"K13447"	"TRINITY_DN803518_c0_g1_i1"
"115286"	"K00990"	"TRINITY_DN803520_c0_g1_i1"
"115288"	"K00473"	"TRINITY_DN803526_c0_g1_i1"
"115291"	"K17099"	"TRINITY_DN803538_c0_g1_i1"
"115295"	"K11593"	"TRINITY_DN803542_c0_g1_i1"
"115296"	"K01601"	"TRINITY_DN803555_c0_g1_i1"
"115301"	"K00079"	"TRINITY_DN803587_c0_g1_i1"
"115302"	"K02492"	"TRINITY_DN803598_c0_g1_i1"
"115304"	"K02434"	"TRINITY_DN803633_c0_g1_i1"
"115307"	"K01183"	"TRINITY_DN803639_c0_g1_i1"
"115314"	"K00640"	"TRINITY_DN803685_c0_g1_i1"
"115315"	"K14327"	"TRINITY_DN803702_c0_g1_i1"
"115316"	"K25829"	"TRINITY_DN803719_c0_g1_i1"
"115317"	"K01139"	"TRINITY_DN803729_c0_g1_i1"
"115318"	"K01425"	"TRINITY_DN803731_c0_g1_i1"
"115321"	"K03561"	"TRINITY_DN803744_c0_g1_i1"
"115325"	"K02905"	"TRINITY_DN803765_c0_g1_i1"
"115330"	"K00939"	"TRINITY_DN803802_c0_g1_i1"
"115340"	"K03070"	"TRINITY_DN803881_c0_g1_i1"
"115350"	"K02147"	"TRINITY_DN803940_c0_g1_i1"
"115353"	"K10754"	"TRINITY_DN803959_c0_g1_i2"
"115359"	"K00615"	"TRINITY_DN803989_c0_g1_i1"
"115360"	"K14439"	"TRINITY_DN803990_c0_g1_i1"
"115364"	"K11182"	"TRINITY_DN804019_c0_g1_i1"
"115365"	"K02207"	"TRINITY_DN804020_c0_g1_i1"
"115372"	"K09013"	"TRINITY_DN804087_c0_g1_i1"
"115376"	"K19525"	"TRINITY_DN804116_c0_g1_i1"
"115377"	"K04306"	"TRINITY_DN804121_c0_g1_i1"
"115383"	"K11146"	"TRINITY_DN804142_c0_g1_i1"
"115388"	"K02135"	"TRINITY_DN804202_c0_g1_i1"
"115394"	"K12486"	"TRINITY_DN804230_c0_g1_i1"
"115397"	"K04986"	"TRINITY_DN804242_c0_g1_i1"
"115399"	"K12567"	"TRINITY_DN804267_c0_g1_i1"
"115405"	"K00850"	"TRINITY_DN804311_c0_g1_i1"
"115407"	"K17986"	"TRINITY_DN804315_c0_g1_i1"
"115408"	"K11661"	"TRINITY_DN804318_c0_g1_i1"
"115410"	"K14498"	"TRINITY_DN80431_c1_g1_i1"
"115412"	"K01534"	"TRINITY_DN804333_c0_g1_i1"
"115413"	"K00728"	"TRINITY_DN804343_c0_g1_i1"
"115416"	"K15296"	"TRINITY_DN804362_c0_g1_i1"
"115420"	"K04534"	"TRINITY_DN804375_c0_g1_i1"
"115424"	"K19219"	"TRINITY_DN804391_c0_g1_i1"
"115425"	"K26226"	"TRINITY_DN804392_c0_g1_i1"
"115428"	"K00382"	"TRINITY_DN804406_c0_g1_i1"
"115431"	"K02989"	"TRINITY_DN80445_c1_g1_i1"
"115437"	"K01433"	"TRINITY_DN804493_c0_g1_i1"
"115439"	"K13299"	"TRINITY_DN804512_c0_g1_i1"
"115440"	"K02027"	"TRINITY_DN804522_c0_g1_i1"
"115441"	"K11838"	"TRINITY_DN804529_c0_g1_i1"
"115446"	"K08283"	"TRINITY_DN804586_c0_g1_i1"
"115453"	"K03108"	"TRINITY_DN804623_c0_g1_i1"
"115457"	"K01768"	"TRINITY_DN804643_c0_g1_i1"
"115458"	"K10609"	"TRINITY_DN804647_c0_g1_i1"
"115464"	"K01595"	"TRINITY_DN804679_c0_g1_i1"
"115465"	"K02978"	"TRINITY_DN804683_c0_g1_i1"
"115478"	"K02612"	"TRINITY_DN804745_c0_g1_i1"
"115479"	"K19416"	"TRINITY_DN804752_c0_g1_i1"
"115480"	"K05643"	"TRINITY_DN804758_c0_g1_i1"
"115481"	"K06107"	"TRINITY_DN804764_c0_g1_i1"
"115482"	"K12567"	"TRINITY_DN804765_c0_g1_i1"
"115483"	"K01733"	"TRINITY_DN804770_c0_g1_i1"
"115489"	"K09097"	"TRINITY_DN804848_c0_g1_i1"
"115490"	"K00844"	"TRINITY_DN804857_c0_g1_i1"
"115493"	"K03696"	"TRINITY_DN804862_c0_g1_i1"
"115499"	"K16726"	"TRINITY_DN804876_c0_g1_i1"
"115502"	"K01565"	"TRINITY_DN804897_c0_g1_i1"
"115504"	"K20032"	"TRINITY_DN80490_c0_g1_i1"
"115505"	"K20032"	"TRINITY_DN80490_c0_g2_i1"
"115506"	"K20032"	"TRINITY_DN80490_c0_g3_i1"
"115507"	"K13116"	"TRINITY_DN804919_c0_g1_i1"
"115512"	"K01611"	"TRINITY_DN804965_c0_g1_i1"
"115517"	"K02218"	"TRINITY_DN80498_c0_g1_i1"
"115518"	"K02218"	"TRINITY_DN80498_c0_g1_i4"
"115519"	"K02218"	"TRINITY_DN80498_c0_g1_i5"
"115520"	"K02218"	"TRINITY_DN80498_c0_g1_i7"
"115521"	"K02218"	"TRINITY_DN80498_c0_g1_i8"
"115525"	"K19032"	"TRINITY_DN80501_c1_g1_i1"
"115526"	"K02934"	"TRINITY_DN805022_c0_g1_i1"
"115528"	"K05768"	"TRINITY_DN805025_c0_g1_i1"
"115530"	"K11338"	"TRINITY_DN805030_c0_g1_i1"
"115531"	"K03495"	"TRINITY_DN805051_c0_g1_i1"
"115532"	"K11654"	"TRINITY_DN805052_c0_g1_i1"
"115535"	"K08994"	"TRINITY_DN805067_c0_g1_i1"
"115542"	"K09027"	"TRINITY_DN805131_c0_g1_i1"
"115547"	"K06237"	"TRINITY_DN805151_c0_g1_i1"
"115548"	"K00232"	"TRINITY_DN805154_c0_g1_i1"
"115549"	"K13177"	"TRINITY_DN805165_c0_g1_i1"
"115555"	"K02092"	"TRINITY_DN80519_c0_g1_i1"
"115556"	"K25307"	"TRINITY_DN80521_c0_g1_i1"
"115557"	"K25307"	"TRINITY_DN80521_c0_g1_i2"
"115562"	"K19756"	"TRINITY_DN805269_c0_g1_i1"
"115565"	"K11866"	"TRINITY_DN805286_c0_g1_i1"
"115574"	"K11749"	"TRINITY_DN805339_c0_g1_i1"
"115576"	"K13993"	"TRINITY_DN805348_c0_g1_i1"
"115580"	"K05540"	"TRINITY_DN805371_c0_g1_i1"
"115581"	"K02003"	"TRINITY_DN805372_c0_g1_i1"
"115582"	"K01466"	"TRINITY_DN805384_c0_g1_i1"
"115583"	"K11699"	"TRINITY_DN805388_c0_g1_i1"
"115593"	"K01738"	"TRINITY_DN805476_c0_g1_i2"
"115596"	"K06114"	"TRINITY_DN805524_c0_g1_i1"
"115598"	"K10579"	"TRINITY_DN80553_c0_g2_i1"
"115602"	"K17891"	"TRINITY_DN805552_c0_g1_i1"
"115604"	"K11884"	"TRINITY_DN805566_c0_g1_i1"
"115606"	"K14574"	"TRINITY_DN805572_c0_g1_i1"
"115607"	"K19511"	"TRINITY_DN805582_c0_g1_i1"
"115611"	"K15275"	"TRINITY_DN805600_c0_g1_i1"
"115617"	"K03424"	"TRINITY_DN805640_c0_g1_i1"
"115618"	"K14848"	"TRINITY_DN805660_c0_g1_i1"
"115620"	"K00860"	"TRINITY_DN805666_c0_g1_i1"
"115621"	"K10612"	"TRINITY_DN805669_c0_g1_i1"
"115624"	"K02901"	"TRINITY_DN805683_c0_g1_i1"
"115625"	"K01764"	"TRINITY_DN805685_c0_g1_i1"
"115626"	"K23934"	"TRINITY_DN805688_c0_g1_i1"
"115628"	"K10779"	"TRINITY_DN805694_c0_g1_i1"
"115632"	"K00033"	"TRINITY_DN805722_c0_g1_i1"
"115636"	"K13293"	"TRINITY_DN805759_c0_g1_i1"
"115638"	"K22748"	"TRINITY_DN805772_c0_g1_i1"
"115639"	"K16904"	"TRINITY_DN805778_c0_g1_i1"
"115640"	"K25803"	"TRINITY_DN80577_c0_g1_i1"
"115642"	"K14753"	"TRINITY_DN805795_c0_g1_i1"
"115643"	"K03347"	"TRINITY_DN805797_c0_g1_i1"
"115645"	"K05057"	"TRINITY_DN805807_c0_g1_i1"
"115646"	"K16311"	"TRINITY_DN805810_c0_g1_i1"
"115648"	"K02891"	"TRINITY_DN805816_c0_g1_i1"
"115653"	"K20477"	"TRINITY_DN80584_c0_g2_i2"
"115655"	"K06104"	"TRINITY_DN805857_c0_g1_i1"
"115660"	"K14560"	"TRINITY_DN805893_c0_g1_i1"
"115678"	"K12832"	"TRINITY_DN806000_c0_g1_i1"
"115680"	"K07639"	"TRINITY_DN806037_c0_g1_i1"
"115686"	"K09313"	"TRINITY_DN806100_c0_g1_i1"
"115687"	"K25612"	"TRINITY_DN806101_c0_g1_i1"
"115689"	"K12891"	"TRINITY_DN806115_c0_g1_i1"
"115691"	"K12614"	"TRINITY_DN806135_c0_g1_i1"
"115696"	"K00099"	"TRINITY_DN806152_c0_g1_i1"
"115700"	"K02358"	"TRINITY_DN80616_c0_g1_i1"
"115701"	"K02358"	"TRINITY_DN80616_c1_g1_i1"
"115707"	"K12667"	"TRINITY_DN806203_c0_g1_i1"
"115709"	"K03654"	"TRINITY_DN806226_c0_g1_i1"
"115711"	"K13100"	"TRINITY_DN806233_c0_g1_i1"
"115715"	"K23536"	"TRINITY_DN806248_c0_g1_i1"
"115716"	"K11097"	"TRINITY_DN806259_c0_g1_i1"
"115717"	"K12483"	"TRINITY_DN806262_c0_g1_i1"
"115721"	"K20994"	"TRINITY_DN80626_c0_g1_i4"
"115724"	"K01280"	"TRINITY_DN806281_c0_g1_i1"
"115736"	"K04992"	"TRINITY_DN806324_c0_g1_i1"
"115737"	"K00208"	"TRINITY_DN806332_c0_g1_i1"
"115742"	"K01625"	"TRINITY_DN806374_c0_g1_i1"
"115744"	"K14398"	"TRINITY_DN806385_c0_g1_i1"
"115750"	"K21866"	"TRINITY_DN806436_c0_g1_i1"
"115751"	"K14410"	"TRINITY_DN806452_c0_g1_i1"
"115755"	"K25593"	"TRINITY_DN806488_c0_g1_i1"
"115757"	"K14822"	"TRINITY_DN806509_c0_g1_i1"
"115759"	"K01394"	"TRINITY_DN806557_c0_g1_i1"
"115761"	"K13218"	"TRINITY_DN806565_c0_g1_i1"
"115767"	"K03046"	"TRINITY_DN806630_c0_g1_i1"
"115770"	"K12231"	"TRINITY_DN806672_c0_g1_i1"
"115777"	"K01897"	"TRINITY_DN806734_c0_g1_i1"
"115779"	"K01785"	"TRINITY_DN806742_c0_g1_i1"
"115783"	"K02291"	"TRINITY_DN806757_c0_g1_i1"
"115786"	"K22614"	"TRINITY_DN806792_c0_g1_i1"
"115787"	"K07516"	"TRINITY_DN806793_c0_g1_i1"
"115793"	"K12489"	"TRINITY_DN806815_c0_g1_i1"
"115804"	"K19881"	"TRINITY_DN806907_c0_g1_i1"
"115805"	"K01889"	"TRINITY_DN806917_c0_g1_i1"
"115821"	"K14381"	"TRINITY_DN806991_c0_g1_i1"
"115840"	"K14573"	"TRINITY_DN807067_c0_g1_i1"
"115845"	"K12818"	"TRINITY_DN807126_c0_g1_i1"
"115846"	"K10223"	"TRINITY_DN807130_c0_g1_i1"
"115854"	"K10577"	"TRINITY_DN807161_c0_g1_i1"
"115857"	"K03530"	"TRINITY_DN807179_c0_g1_i1"
"115860"	"K07390"	"TRINITY_DN80725_c0_g1_i2"
"115862"	"K00655"	"TRINITY_DN807292_c0_g1_i1"
"115863"	"K03307"	"TRINITY_DN8072_c0_g2_i1"
"115864"	"K03307"	"TRINITY_DN8072_c0_g2_i2"
"115866"	"K17975"	"TRINITY_DN807307_c0_g1_i1"
"115870"	"K02469"	"TRINITY_DN807342_c0_g1_i1"
"115872"	"K03076"	"TRINITY_DN807368_c0_g1_i1"
"115873"	"K10382"	"TRINITY_DN807373_c0_g1_i1"
"115877"	"K18037"	"TRINITY_DN807441_c0_g1_i1"
"115879"	"K01951"	"TRINITY_DN807464_c0_g1_i1"
"115885"	"K16276"	"TRINITY_DN807503_c0_g1_i1"
"115888"	"K05641"	"TRINITY_DN807509_c0_g1_i1"
