Seq	Level1	Level2	Level3	Level4	Level5	Level6	Level7
Seq17791	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Jidaibacter	uncultured Rickettsiales bacterium	uncultured Rickettsiales bacterium
Seq17792	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Candidatus Jidaibacter	uncultured bacterium	uncultured bacterium
Seq17793	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Fokiniaceae	Fokiniaceae
Seq17794	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Anadelfobacter	Candidatus Anadelfobacter
Seq17795	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Anadelfobacter	Candidatus Anadelfobacter veles
Seq17796	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Anadelfobacter	uncultured Alphaproteobacteria bacterium
Seq17797	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Cyrtobacter	Candidatus Cyrtobacter
Seq17798	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Cyrtobacter	Candidatus Cyrtobacter comes
Seq17799	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Cyrtobacter	Candidatus Cyrtobacter zanobii
Seq17800	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Defluviella	Candidatus Defluviella procrastinata
Seq17801	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Fokinia	Candidatus Fokinia
Seq17802	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Fokinia	Candidatus Fokinia cryptica
Seq17803	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Fokinia	Candidatus Fokinia solitaria
Seq17804	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Lariskella	Candidatus Lariskella
Seq17805	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Lariskella	Candidatus Lariskella arthropodarum
Seq17806	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Lariskella	Ixodes persulcatus taiga tick
Seq17807	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Lariskella	Lariskella endosymbiont of Curculio morimotoi
Seq17808	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Candidatus Lariskella	uncultured bacterium
Seq17809	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Lyticum	Lyticum sinuosum
Seq17810	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	MD3-55
Seq17811	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	bacterium Sq1_host
Seq17812	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	uncultured Alphaproteobacteria bacterium
Seq17813	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	uncultured Rickettsiales bacterium
Seq17814	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	uncultured bacterium
Seq17815	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	MD3-55	uncultured proteobacterium
Seq17816	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured Candidatus Midichloria sp.	uncultured Candidatus Midichloria sp.
Seq17817	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured bacterium	uncultured bacterium
Seq17818	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured	uncultured
Seq17819	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured	metagenome
Seq17820	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured	uncultured bacterium
Seq17821	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Midichloria	Candidatus Midichloria
Seq17822	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Midichloria	Candidatus Midichloria mitochondrii IricVA
Seq17823	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Midichloria	Candidatus Midichloria sp. Ixholo1
Seq17824	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Midichloria	uncultured Rickettsiales bacterium
Seq17825	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Midichloriaceae	Candidatus Midichloria	uncultured bacterium
Seq17826	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Mitochondria
Seq17827	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Abies homolepis	Abies homolepis
Seq17828	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Acanthamoeba sp.	Acanthamoeba sp.
Seq17829	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Acremonium chrysogenum	Acremonium chrysogenum
Seq17830	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Acremonium fuci	Acremonium fuci
Seq17831	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Adiantum pedatum	Adiantum pedatum
Seq17832	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Aegilops tauschii	Aegilops tauschii
Seq17833	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Agave tequilana	Agave tequilana
Seq17834	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ahnfeltia plicata	Ahnfeltia plicata
Seq17835	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ajuga reptans bugle	Ajuga reptans bugle
Seq17836	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Akanthomyces muscarius	Akanthomyces muscarius
Seq17837	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Allium cepa onion	Allium cepa onion
Seq17838	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ammopiptanthus mongolicus	Ammopiptanthus mongolicus
Seq17839	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ananas comosus pineapple	Ananas comosus pineapple
Seq17840	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Andalucia godoyi	Andalucia godoyi
Seq17841	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Andreaea rothii	Andreaea rothii
Seq17842	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Andrographis paniculata	Andrographis paniculata
Seq17843	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Aneura pinguis	Aneura pinguis
Seq17844	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Angiopteris lygodiifolia turnip fern	Angiopteris lygodiifolia turnip fern
Seq17845	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Annulohypoxylon stygium	Annulohypoxylon stygium
Seq17846	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Anomodon attenuatus	Anomodon attenuatus
Seq17847	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Anthoceros angustus	Anthoceros angustus
Seq17848	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Arabidopsis thaliana thale cress	Arabidopsis thaliana thale cress
Seq17849	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Arachis ipaensis	Arachis ipaensis
Seq17850	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Aspergillus niger	Aspergillus niger
Seq17851	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Atrichum angustatum	Atrichum angustatum
Seq17852	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Auxenochlorella protothecoides	Auxenochlorella protothecoides
Seq17853	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Babesia sp. Xinjiang	Babesia sp. Xinjiang
Seq17854	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Beauveria malawiensis	Beauveria malawiensis
Seq17855	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Berkeleya fennica	Berkeleya fennica
Seq17856	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Betaphycus gelatinus	Betaphycus gelatinus
Seq17857	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Bixa orellana	Bixa orellana
Seq17858	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Botryosphaeria dothidea	Botryosphaeria dothidea
Seq17859	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Bouteloua dactyloides	Bouteloua dactyloides
Seq17860	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Buxbaumia aphylla	Buxbaumia aphylla
Seq17861	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Buxus sp. Qiu 94069	Buxus sp. Qiu 94069
Seq17862	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cairneyella variabilis	Cairneyella variabilis
Seq17863	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Calliarthron tuberculosum	Calliarthron tuberculosum
Seq17864	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Calypogeia muelleriana	Calypogeia muelleriana
Seq17865	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Camellia oleifera	Camellia oleifera
Seq17866	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cannabis sativa hemp	Cannabis sativa hemp
Seq17867	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ceramium japonicum	Ceramium japonicum
Seq17868	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chaetosphaeridium globosum	Chaetosphaeridium globosum
Seq17869	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chara vulgaris	Chara vulgaris
Seq17870	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chenopodium pallidicaule	Chenopodium pallidicaule
Seq17871	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chloranthus multistachys	Chloranthus multistachys
Seq17872	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chlorella heliozoae	Chlorella heliozoae
Seq17873	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chlorella pyrenoidosa	Chlorella pyrenoidosa
Seq17874	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chlorella sorokiniana	Chlorella sorokiniana
Seq17875	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chlorokybus atmophyticus	Chlorokybus atmophyticus
Seq17876	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Chondrus crispus carragheen	Chondrus crispus carragheen
Seq17877	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Choreocolax polysiphoniae	Choreocolax polysiphoniae
Seq17878	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Citrus maxima	Citrus maxima
Seq17879	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cladosiphon okamuranus	Cladosiphon okamuranus
Seq17880	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Clonostachys rosea	Clonostachys rosea
Seq17881	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Closterium baillyanum	Closterium baillyanum
Seq17882	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Codonopsis lanceolata	Codonopsis lanceolata
Seq17883	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Coeloseira compressa	Coeloseira compressa
Seq17884	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colletotrichum acutatum	Colletotrichum acutatum
Seq17885	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colletotrichum aenigma	Colletotrichum aenigma
Seq17886	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colletotrichum lindemuthianum	Colletotrichum lindemuthianum
Seq17887	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colletotrichum salicis	Colletotrichum salicis
Seq17888	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colletotrichum tamarilloi	Colletotrichum tamarilloi
Seq17889	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Colobanthus quitensis	Colobanthus quitensis
Seq17890	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Corallina officinalis	Corallina officinalis
Seq17891	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cordyceps militaris	Cordyceps militaris
Seq17892	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cubanola domingensis	Cubanola domingensis
Seq17893	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cuscuta gronovii	Cuscuta gronovii
Seq17894	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cycas taitungensis	Cycas taitungensis
Seq17895	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Cytinus ruber	Cytinus ruber
Seq17896	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Dicranum scoparium	Dicranum scoparium
Seq17897	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Diphasiastrum digitatum	Diphasiastrum digitatum
Seq17898	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Diphyscium foliosum	Diphyscium foliosum
Seq17899	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Dumontia simplex	Dumontia simplex
Seq17900	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Echinochloa colona	Echinochloa colona
Seq17901	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Elaeis guineensis African oil palm	Elaeis guineensis African oil palm
Seq17902	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ensete ventricosum	Ensete ventricosum
Seq17903	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Eosphagnum rigescens	Eosphagnum rigescens
Seq17904	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Epipremnum aureum	Epipremnum aureum
Seq17905	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Flatbergium novo-caledoniae	Flatbergium novo-caledoniae
Seq17906	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Flatbergium sericeum	Flatbergium sericeum
Seq17907	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fonsecaea multimorphosa	Fonsecaea multimorphosa
Seq17908	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fucus vesiculosus	Fucus vesiculosus
Seq17909	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fusarium circinatum	Fusarium circinatum
Seq17910	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fusarium commune	Fusarium commune
Seq17911	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fusarium solani	Fusarium solani
Seq17912	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Fusarium temperatum	Fusarium temperatum
Seq17913	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Galeola lindleyana	Galeola lindleyana
Seq17914	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium arborescens	Gelidium arborescens
Seq17915	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium crinale f. luxurians	Gelidium crinale f. luxurians
Seq17916	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium elegans	Gelidium elegans
Seq17917	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium gabrielsonii	Gelidium gabrielsonii
Seq17918	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium galapagense	Gelidium galapagense
Seq17919	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium isabelae	Gelidium isabelae
Seq17920	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium sclerophyllum	Gelidium sclerophyllum
Seq17921	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium sinicola	Gelidium sinicola
Seq17922	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gelidium vagum	Gelidium vagum
Seq17923	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Genlisea aurea	Genlisea aurea
Seq17924	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Geranium himalayense	Geranium himalayense
Seq17925	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ginkgo biloba maidenhair tree	Ginkgo biloba maidenhair tree
Seq17926	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gleditsia sinensis	Gleditsia sinensis
Seq17927	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gloeochaete wittrockiana	Gloeochaete wittrockiana
Seq17928	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gossypium hirsutum cotton	Gossypium hirsutum cotton
Seq17929	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria caudata	Gracilaria caudata
Seq17930	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria changii	Gracilaria changii
Seq17931	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria chilensis	Gracilaria chilensis
Seq17932	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria chouae	Gracilaria chouae
Seq17933	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria edulis	Gracilaria edulis
Seq17934	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria ferox	Gracilaria ferox
Seq17935	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria gracilis	Gracilaria gracilis
Seq17936	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria salicornia	Gracilaria salicornia
Seq17937	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria spinulosa	Gracilaria spinulosa
Seq17938	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria tenuistipitata	Gracilaria tenuistipitata
Seq17939	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria textorii	Gracilaria textorii
Seq17940	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilaria vermiculophylla	Gracilaria vermiculophylla
Seq17941	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilariophila oryzoides	Gracilariophila oryzoides
Seq17942	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilariopsis andersonii	Gracilariopsis andersonii
Seq17943	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilariopsis heteroclada	Gracilariopsis heteroclada
Seq17944	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilariopsis lemaneiformis	Gracilariopsis lemaneiformis
Seq17945	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gracilariopsis longissima	Gracilariopsis longissima
Seq17946	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Grateloupia catenata	Grateloupia catenata
Seq17947	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Grateloupia filicina	Grateloupia filicina
Seq17948	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Grateloupia livida	Grateloupia livida
Seq17949	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Grateloupia taiwanensis	Grateloupia taiwanensis
Seq17950	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Grosmannia sp. WINM 165	Grosmannia sp. WINM 165
Seq17951	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Gyrocarpus americanus	Gyrocarpus americanus
Seq17952	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hedycarya arborea	Hedycarya arborea
Seq17953	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hedyosmum arborescens	Hedyosmum arborescens
Seq17954	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Helianthus annuus common sunflower	Helianthus annuus common sunflower
Seq17955	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Helicosporidium sp. ex Simulium jonesi	Helicosporidium sp. ex Simulium jonesi
Seq17956	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Heterosigma akashiwo	Heterosigma akashiwo
Seq17957	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hildenbrandia rubra	Hildenbrandia rubra
Seq17958	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hirsutella minnesotensis	Hirsutella minnesotensis
Seq17959	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hirsutella thompsonii	Hirsutella thompsonii
Seq17960	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Histiona aroides	Histiona aroides
Seq17961	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hordeum vulgare subsp. vulgare domesticated barley	Hordeum vulgare subsp. vulgare domesticated barley
Seq17962	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hortonia floribunda	Hortonia floribunda
Seq17963	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Huperzia lucidula shining club moss	Huperzia lucidula shining club moss
Seq17964	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hydropuntia rangiferina	Hydropuntia rangiferina
Seq17965	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hypomyces aurantius	Hypomyces aurantius
Seq17966	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hypomyces chrysospermus	Hypomyces chrysospermus
Seq17967	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hypseocharis pimpinellifolia	Hypseocharis pimpinellifolia
Seq17968	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Hypsibius dujardini	Hypsibius dujardini
Seq17969	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Ipomoea batatas sweet potato	Ipomoea batatas sweet potato
Seq17970	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Isoetes engelmannii Engelmanns quillwort	Isoetes engelmannii Engelmanns quillwort
Seq17971	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Jakoba bahamiensis	Jakoba bahamiensis
Seq17972	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Jakoba libera	Jakoba libera
Seq17973	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Juniperus virginiana	Juniperus virginiana
Seq17974	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Kappaphycus alvarezii	Kappaphycus alvarezii
Seq17975	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Kappaphycus striatus	Kappaphycus striatus
Seq17976	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Lecanicillium saksenae	Lecanicillium saksenae
Seq17977	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptographium lundbergii	Leptographium lundbergii
Seq17978	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Leptographium truncatum	Leptographium truncatum
Seq17979	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Lithothamnion sp.	Lithothamnion sp.
Seq17980	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Lophophytum mirabile subsp. bolivianum	Lophophytum mirabile subsp. bolivianum
Seq17981	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Lotus japonicus	Lotus japonicus
Seq17982	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Lupinus angustifolius narrow-leaved blue lupine	Lupinus angustifolius narrow-leaved blue lupine
Seq17983	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Macadamia integrifolia	Macadamia integrifolia
Seq17984	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Macropereiopus parvus	Macropereiopus parvus
Seq17985	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Malawimonas californiana	Malawimonas californiana
Seq17986	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Malawimonas jakobiformis	Malawimonas jakobiformis
Seq17987	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Marchantia paleacea	Marchantia paleacea
Seq17988	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mastocarpus papillatus	Mastocarpus papillatus
Seq17989	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mazzaella japonica	Mazzaella japonica
